time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
87,88,110,167,6,59,94,93,64,66,114,0.36017776549812924,0.020930796646123052,-2.802892315277707,-8.51437180873257,-2.524132791900325,-3.3822030061492883,0.12146622296665834,-3.555350581277353,-3.8235380163908466,-0.44259296194140174
88,87,110,166,4,55,94,94,65,67,109,0.41428612535173176,0.10848777551945775,-2.6046339568057157,-8.044967737389625,-2.3657540206738994,-3.2313010651221785,0.1147579628690023,-3.3508146299096664,-3.567826839571821,-0.3548674784636607
89,86,98,157,2,50,88,89,65,67,106,0.48570425737725775,0.2578792385454083,-2.21257351243921,-7.228451192340969,-2.072092681765599,-2.9171780397166125,0.14208320415624054,-2.9027387421718975,-3.102298240196254,-0.1519837851894848
90,85,94,148,0,46,81,85,65,64,97,0.6077358966175648,0.4768422421520552,-1.6591823705264446,-6.079236181864803,-1.6467036671138509,-2.4744150969768666,0.18080577745480017,-2.303741297503639,-2.4611523806631808,0.09621192875106362
91,79,88,132,0,39,73,75,60,62,90,0.7690618192251203,0.7571922692167814,-0.9509238927261451,-4.656689609151212,-1.1321716193920273,-1.9130411026463439,0.21805415512371643,-1.5229955260680283,-1.6393418848773742,0.3922030805100207
92,71,78,105,0,26,63,62,55,53,71,0.9491874620303977,1.0974569223160824,-0.13384829643813395,-3.007152280713317,-0.5240038907431902,-1.253505812050801,0.24775589726233835,-0.6658516146259447,-0.6860925741974474,0.753144774740254
93,52,60,68,0,9,45,44,49,46,48,1.1387667732910525,1.448124954145977,0.763344517251533,-1.178633495965529,0.13812634494881912,-0.5032909856767936,0.2795245338694478,0.27064463851995313,0.3469820709256368,1.1242802547571698
94,18,16,3,0,0,5,8,25,24,12,1.327457630684849,1.828743537695659,1.7035817990317546,0.7370086371427321,0.8399742204895895,0.2817521851882545,0.3190208348465902,1.2539733842219334,1.4381927880624874,1.5204920285076653
95,36,43,25,0,3,25,26,40,35,26,1.5159967070890525,2.196333441692678,2.6458392471712786,2.6615383090431446,1.5485218959117006,1.074209782990248,0.35996921826571876,2.2415456734904717,2.5271425075369907,1.9114714601777565
96,62,69,75,0,21,53,57,54,51,55,1.6921756205697738,2.546482482592352,3.5747703143922607,4.522681000974975,2.23974858172157,1.8389702827657237,0.3921151592254178,3.1878354347501454,3.5940442592507553,2.2988672779414627
97,74,83,112,0,36,64,71,60,57,78,1.8461715492551138,2.870937546765563,4.437821092727443,6.2304906207207225,2.8788387529008466,2.553246362164705,0.4412075640377292,4.069400846902942,4.571420325111547,2.6610691953520336
98,86,94,129,0,48,73,83,68,64,90,1.992008378878572,3.173063583790516,5.1950803736931155,7.722708452932928,3.442535013831837,3.1767179346953944,0.48220853708313616,4.83164989295198,5.4488782419412205,2.9772204729585527
99,94,101,140,0,54,81,89,69,67,99,2.1120563963436885,3.441511290222731,5.813832054080166,8.988931699524604,3.902787494889303,3.708535698061452,0.517285179763472,5.435633822612362,6.174178979581026,3.2403275001645153
