time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
48,35,18,33,55,58,17,25,62,60,62,29,67,45,58,75,72,25,112,25,55,10.062062544922009,7.6581253044094675,31.797611686597392,3.889506155112606,20.002178619751103,13.506634383594562,13.333951741410264,7.6978018331107485,29.364453349465183,3.785650409057928,18.124305352111246,16.134670698212464,14.031681192073911,0.14744335102184647,2.3809939008931202,5.709279463275636,1.7075855494344603,3.2453065940178765,-0.6115878033951931,5.900405640223847
49,35,18,33,54,56,17,25,63,60,61,29,68,46,57,75,73,25,112,25,55,10.133712595805106,7.732688339789702,31.842300054443477,3.9500625394368596,20.068052383894795,13.541102267380097,13.230394341834478,7.657481481308225,29.23354755293311,3.82917708174663,18.26555839355422,16.085063996363914,14.067361268933283,0.1649041017793426,2.38587308122567,5.661098933370394,1.7100214551794235,3.2059519755990356,-0.6147745587244198,5.900221695626827
50,35,18,33,54,55,17,25,64,60,64,29,69,46,58,74,72,26,112,25,55,10.1976836874992,7.834290397400972,31.92600514890502,4.032953017573096,20.16625049537681,13.547106483039537,13.239312253199497,7.70732750832483,29.311071417189964,3.867460528769911,18.172572750947364,16.133102329282252,13.98150668848305,0.19311933951763477,2.405250398702464,5.626368320092798,1.7313865884995763,3.1733025200701843,-0.608186489061907,5.891472100158698
51,37,18,33,54,55,17,25,64,61,65,29,70,46,61,72,74,27,114,26,55,10.281121659793568,7.929101066104765,32.02891166899622,4.105660671229454,20.22170139686092,13.539026049667088,13.314398301130522,7.769397423851226,29.279179816378488,3.9219497063601687,18.148934432174524,16.141001018130012,13.89309216075112,0.22300581056652707,2.4140143604996616,5.6586112239719535,1.7326225163486053,3.1919599316263856,-0.6091344078090045,5.881857461360128
52,38,18,33,54,56,17,25,65,61,66,29,70,47,62,71,76,27,117,26,55,10.349173498538049,8.008480654548553,32.00545054260833,4.175461862843828,19.97898574276553,13.53690231188272,13.417342894265785,7.7772221736821505,29.35992416719966,3.9659057666360376,18.1003054233429,16.104773197146432,13.899421971609076,0.2395460735410198,2.438309309239026,5.649078155533871,1.7320183202868296,3.2019001615190206,-0.6070647075788838,5.8597947428257
53,37,18,34,56,56,17,24,65,61,70,30,70,48,62,68,75,27,117,26,55,10.407720956169012,8.059007165048655,31.997713619828907,4.246685789525955,20.113028095296368,13.514640025875115,13.347919440542361,7.790624587638335,28.965403174968507,3.988348588906473,17.939163637979277,16.12217515430192,13.888231489276977,0.2719172895198873,2.441709520204263,5.646382633476721,1.7379824312251178,3.2047417552438127,-0.5984373919404067,5.823013910774549
54,37,18,33,56,58,16,24,64,61,70,30,70,48,62,69,75,27,117,26,55,10.477606916249488,8.114580798280196,31.843795180824255,4.293028295296998,20.094448752150065,13.518810454598643,13.337515882037575,7.831550860554698,28.944717302688055,4.046803165056488,17.94501979409841,16.076642502633646,13.854025378361333,0.2960189404803076,2.4666495531866035,5.644913829959488,1.72774635591959,3.1881011350294246,-0.5964183021328884,5.818213522667393
55,36,19,34,56,59,16,25,64,62,70,28,70,48,62,69,74,27,117,25,55,10.545557373736768,8.128691081476445,31.87053143001744,4.357665838235827,19.89544694718057,13.550637702094546,13.325183796584962,7.849302127443795,28.80034393713139,4.081974663450394,18.00304972612382,16.025741705153205,13.83249378030599,0.31895920915091797,2.481767436784121,5.635729044777134,1.7356587027230561,3.1837858920673296,-0.5965455287350597,5.724335559315547
56,37,18,34,56,58,16,26,64,63,72,28,71,48,64,69,74,26,119,26,55,10.621876921487969,8.233009360708943,31.641355344455846,4.425504671414615,20.001154429505547,13.543318275338933,13.368755930239846,7.917615389552595,28.88830373312928,4.112140829231396,18.094799776707916,15.985096721291514,13.827685816448897,0.349816757334935,2.512945939436216,5.632942360390166,1.741166323598691,3.1912081759511564,-0.5898887128177612,5.753956613379561
57,38,18,33,56,58,16,27,64,64,73,28,71,49,63,69,76,25,120,25,55,10.672932934654181,8.285676459509371,31.612958820108,4.475141664591436,19.903927345469572,13.590414646590242,13.273614019093223,7.889021124769486,28.874361901720604,4.127397817181755,18.074479022446436,16.003434432506516,13.863494700055927,0.38291940900782395,2.513562874000598,5.642925236542171,1.7472552197027693,3.165645432256309,-0.584043920527821,5.705449012332483
