time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
45,97,103,40,86,55,75,70,63,58,31,79,66,41,49,37,26,56,32,51,25,-1494.065579883445,-1401.5992286116682,-1321.3485708108915,-1239.4945747275474,-1180.6465311314812,-1099.9021609823649,-1006.2218005469757,-937.6837976896223,-841.7607718845904,-772.9326311958029,-705.8552995986134,-609.5631102853242,-526.9349899703784,-443.2522648138331,-379.87472204574493,-303.5547516214657,-221.3298646531843,-150.11148244539444,-57.750531384370866,15.109152324582482
46,96,103,39,87,56,74,71,64,58,31,80,68,41,49,36,28,58,31,51,21,-1494.0993251430173,-1401.6477207609898,-1321.6135168097933,-1239.511970800581,-1180.6216239310686,-1099.8751898843282,-1006.4020115456653,-937.4827377939996,-841.7240067073051,-772.9562571708934,-705.8014943505517,-609.663562493734,-526.8014909014701,-443.3274654706176,-379.8592371143162,-303.5492395304324,-221.36750552388816,-150.08347638760537,-57.74440384410222,15.017734300435063
47,97,101,35,87,58,75,71,65,58,32,81,68,41,49,36,28,58,32,50,18,-1494.0694715983477,-1401.8863217374849,-1321.5126694020876,-1239.46962417252,-1180.5702886285935,-1099.8228848380927,-1006.3343381913851,-937.360497681775,-841.6489958764422,-773.0490333115008,-705.7649950060783,-609.7766771937083,-527.0392026082678,-443.72274077631585,-379.8829953915272,-303.54051625867385,-221.41781274206548,-150.07943906228243,-57.731519474746456,15.030032194997835
48,93,102,37,86,58,76,71,67,58,32,84,68,41,49,36,28,61,34,51,18,-1494.043405893843,-1401.8568051223915,-1321.731875083437,-1239.5559023781216,-1180.5526257227962,-1099.7825531783449,-1006.286673709024,-937.4286108757989,-841.528757504242,-773.0195334467875,-705.7126331526491,-609.9600408263673,-526.9787025375887,-443.46247595695723,-379.8264267155086,-303.5410291768066,-221.3961704958696,-150.0610056391134,-57.85750489187808,15.06546049863302
49,93,102,37,88,58,76,71,65,59,31,83,69,41,48,36,28,61,32,51,18,-1494.0316789190504,-1401.8884878924118,-1321.86647269677,-1239.5816787667004,-1180.5028174672311,-1099.756087278099,-1006.5901244001606,-937.3481394519625,-841.4460326799979,-772.9567438216557,-705.6834372874749,-610.0712229766237,-527.0721224419223,-443.6677783202837,-379.92814847407027,-303.4849688915442,-221.3547463904587,-150.04609592881488,-57.833554670667276,15.070839103466701
50,94,102,37,89,58,75,73,66,60,31,84,70,41,48,38,27,61,33,53,17,-1493.9917270432013,-1401.8217136251772,-1321.7545803303315,-1239.516564999327,-1180.4645800269013,-1099.7175430579364,-1006.5085229328597,-937.2909506697804,-841.4852659958387,-772.9803368285068,-705.6575957503377,-610.1062534179913,-527.3059876412655,-443.65215960275685,-379.8919466342262,-303.4766193238555,-221.3470704302845,-150.04004277113907,-57.895016731817314,15.092898425319358
51,94,102,36,90,58,73,73,67,60,30,84,69,41,48,38,27,61,35,53,17,-1493.9636393850049,-1401.7507058117412,-1321.6797474261944,-1239.7242343998678,-1180.4117176379307,-1099.6829842595403,-1006.4838506608983,-937.2610440447129,-841.8308388916979,-773.1102127851652,-705.592809628474,-609.9204705958676,-527.233549210294,-443.8025438243623,-379.91644270911206,-303.4152991901358,-221.32004407619448,-150.03398615532168,-57.982724467041734,15.148448135941248
52,94,105,34,89,58,72,75,66,61,30,84,70,40,50,38,26,62,36,53,17,-1493.955370043241,-1401.7153478634204,-1321.6983608528242,-1239.758017619072,-1180.3658009649557,-1099.6174430472106,-1006.5449001174685,-937.2524881271557,-841.8269027077557,-773.0249311367492,-705.5557639151111,-610.0154423275793,-527.3164242370204,-443.91493734050744,-379.9271001452138,-303.416370317447,-221.33222457620403,-150.0041009560357,-58.117761955708204,15.100471465694913
53,93,104,33,89,58,72,75,67,61,30,85,69,42,50,38,28,62,37,53,16,-1493.9198655384905,-1401.6641921228072,-1321.6767982109766,-1239.7955592423932,-1180.3669834923737,-1099.5998202968,-1006.5437957241469,-937.3653312368458,-841.8733603274375,-773.1526284069386,-705.5265991389174,-610.2460032799066,-527.2873527343702,-444.0008853486778,-380.0148036744065,-303.4782649982291,-221.33010024477855,-149.99272078209412,-58.08713252968411,15.098317905609868
54,94,104,32,92,60,72,75,67,62,30,86,69,42,50,38,28,62,37,53,16,-1493.881685835539,-1401.896281672439,-1321.6685109172927,-1239.7344877925445,-1180.3218190229957,-1099.5908267048603,-1006.4800795804372,-937.3092775211921,-841.9462705448611,-773.1527084378312,-705.484226395437,-610.2012047605083,-527.2521517486389,-444.56553534236537,-379.95458864885006,-303.4634460453007,-221.31687991922865,-149.9389464357779,-58.165701441711455,15.091504555170447
