time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
61,36,26,12,66,21,40,34,22,37,23,82,13,36,46,42,-0.8650530823754458,3.037246662900153,-2.2870667207400133,-0.04430561190372779,2.3511430304582737,0.5450219214227335,-1.2471990691230115,-1.1063411847326765,7.210369677878725,2.213290680453726,0.31414822549799903,3.1494144278211027,-0.5392610226494169,-3.122510896579513,4.236639986925426
62,36,26,13,67,21,40,34,22,37,23,82,13,36,46,44,-0.8625892763172597,3.033620350404372,-2.2941814636132856,-0.06875231968237132,2.345460487523595,0.5441451486363813,-1.2498852027914744,-1.1076649351379113,7.176901741165665,2.193495211928596,0.31660126256935067,3.135389641614458,-0.5344947092340696,-3.104957216942052,4.229767201467316
63,36,26,13,67,21,41,34,22,37,23,82,13,38,47,44,-0.8659681981996066,3.0122182225914544,-2.2978486767328663,-0.05745602565863714,2.3621020101119017,0.5440804621812952,-1.24324034637037,-1.0907527351319013,7.158809126650288,2.2001115961619386,0.31999517793751947,3.129485878054803,-0.5297739164129966,-3.0979411050865218,4.19051104167365
64,36,26,13,67,21,42,34,22,37,23,81,13,38,46,44,-0.8658502204243559,2.9954411498921973,-2.2793813474024693,-0.060958429089435794,2.3642198912043844,0.5410037526892847,-1.2414853424289944,-1.0905720034362423,7.155202920347575,2.1932826222926862,0.32403847771262356,3.1382825886298877,-0.5324270751096,-3.0738997025779105,4.195843396532661
65,36,27,13,67,21,41,34,22,37,23,79,13,38,46,43,-0.8648761007017505,3.0016085820859466,-2.2531399110601087,-0.06138619030609817,2.362683041983369,0.5443076041053463,-1.238826554505878,-1.0875432207597773,7.179342221729332,2.1871421698131694,0.32823164115588555,3.1137586857704833,-0.5316745073191664,-3.0255463568744587,4.1664661512655154
66,35,27,13,68,21,41,34,22,37,23,79,13,38,46,44,-0.8439868160455666,3.0082858439135416,-2.259896666394141,-0.042302139794942364,2.366978969798958,0.549858317131575,-1.2191839999335443,-1.0616314977299004,7.185531586581107,2.188694495156936,0.32878201000284557,3.092445761256441,-0.5271978088297632,-3.0192525929284333,4.177437367705526
67,34,29,12,68,20,41,34,22,39,23,78,13,38,47,44,-0.8459476690687999,3.006810052357258,-2.242116247725696,-0.04372881762854913,2.373069682438882,0.5490165456393346,-1.200796147974868,-1.0393061242683572,7.1646581932146,2.180858348737007,0.3258040570054903,3.110851958443589,-0.5147155860399708,-3.0188901604246867,4.163895108509078
68,37,29,12,69,21,42,34,22,40,23,78,13,37,47,45,-0.8358979046249176,2.990716494936591,-2.2260782989021752,-0.04638701099083835,2.366653512283939,0.5433889204424677,-1.1921282618302822,-1.0296783581388054,7.185629250343097,2.1843944325081255,0.32293584525418606,3.0854641461672907,-0.5171071147641231,-3.022626342839261,4.14296946579082
69,38,29,12,69,21,44,33,22,40,23,77,13,37,46,45,-0.8321275081008239,2.9601978433209024,-2.218608549072266,-0.039560061778676985,2.359645890427364,0.5492646959821798,-1.1912347976940685,-1.0277458797839714,7.207909654910266,2.175831002888055,0.3259575035998893,3.0797559144058946,-0.5130824900892343,-3.015838858415127,4.134430533413186
70,39,29,11,68,21,46,33,22,41,23,78,14,39,46,45,-0.8236933702862812,2.9661750580108635,-2.207186216894313,-0.1710337597683468,2.356314845675944,0.5482818176193383,-1.175785335487887,-1.028112057656173,7.1443428380250324,2.1697372170542306,0.3272794402562631,3.054055591451916,-0.5056458357753173,-2.973583999175052,4.146307731853441
