time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
71,5819,5724,5718,5737,5794,5748,5847,5731,5782,-32.75545193044394,21.9263224750453,108.53497365947254,29.915205444309738,50.87008772617959,-8.672927278424716,-46.238875195113486,97.83841213840925,43.396142881641865
72,5811,5714,5732,5718,5775,5730,5863,5760,5771,-29.25482887234456,38.48289212159038,104.5962164447537,40.35138362653189,52.67012568851304,-17.55125513453078,-31.275833142768384,80.7407365241155,43.88525365176747
73,5830,5736,5752,5724,5774,5696,5858,5745,5735,-25.179789050105544,37.35353015271284,105.68000538602347,47.84460974382137,44.575093054426794,-7.014048726014048,-21.683032461671324,60.85064315920257,55.68903505036748
74,5795,5711,5747,5713,5757,5734,5833,5734,5721,-36.63722714650349,37.292130919053406,86.28846366928477,45.43158322499448,20.586794460090417,-15.946773204969201,27.31548539641628,78.77292957709585,38.08104301695501
75,5805,5732,5764,5742,5756,5718,5831,5778,5722,-31.612111914657884,53.76841208815914,82.91154333460794,35.97690364059044,4.199374275869545,3.3333527976974846,27.733220706093807,82.34004980236553,1.96394627895438
76,5770,5704,5781,5749,5724,5691,5838,5778,5733,-34.1724580766913,56.88473943731773,74.40383646645446,16.647987052334514,1.9380138292875555,6.01667504886008,39.050414335405705,83.0961762193944,-7.587677791872786
77,5743,5714,5767,5764,5731,5698,5819,5754,5702,-33.11962119863323,66.5671320059894,37.26887236871455,26.404382869208398,-29.533491345898724,-2.1555993833719027,39.82387584658911,68.35411716371783,9.289923333758695
78,5816,5721,5765,5773,5757,5720,5789,5765,5716,-27.12576806713707,65.57304181505103,22.285256528469425,48.85405105855486,-41.51395940178608,-0.08588650634744101,41.13660913668155,56.731847231938026,24.32064813807851
79,5790,5744,5774,5763,5766,5706,5769,5741,5686,0.6728263172510598,52.98575401697668,17.93903109660761,68.0921290815257,-49.14610804498196,-17.162323881890458,27.60771647028112,65.64698699823825,39.09382071933208
80,5775,5727,5796,5747,5811,5725,5723,5713,5699,-0.2877696090736323,68.93949690441775,49.957006942346695,85.42467287545536,-44.42645077688785,-10.52219628852821,30.620530437096498,62.174786956473234,27.20680650298943
81,5738,5720,5788,5740,5804,5720,5726,5724,5754,-0.696097172782984,69.47224733390534,46.776195297045675,87.18679093847494,-33.088830577099735,-21.584976719199286,46.69363442271348,70.61832619839339,15.14706303509242
82,5791,5700,5774,5733,5872,5732,5759,5790,5776,-13.031672309567366,72.6752512347031,36.34922041779086,87.74332576173433,-36.41603487560989,-33.8221312423798,40.510102810338594,68.30651640215686,24.686491445840563
83,5809,5713,5792,5752,5794,5725,5780,5786,5754,-12.219167355709192,63.104593814546284,32.73811874739031,92.21558282501698,-36.336561456493286,-42.93646540964825,45.1981705683315,84.39467660015731,19.101118951914874
84,5825,5733,5786,5762,5785,5736,5787,5787,5766,-26.300774549862577,78.18920377534566,5.846341138396495,90.55626314626481,-30.9163313203906,-35.27488315804162,39.71908318309436,112.9674516921002,50.43118728797999
85,5834,5753,5777,5760,5737,5796,5789,5784,5740,-39.657030632394466,69.73282947629848,-0.7332067879641222,74.19672363183825,-31.830045849640914,-41.10784913968444,38.37324679388578,107.48568217447533,53.96686764073107
86,5863,5771,5770,5784,5773,5750,5780,5804,5736,-50.63682604724293,89.92111395553053,-27.3969835212359,98.27990028242534,-31.677378569434417,-43.16292382357853,53.81250623487251,77.54281696058545,44.14683207292979
87,5849,5741,5768,5803,5808,5730,5785,5799,5751,-54.72850675925091,103.97600304915156,-9.115715792883021,76.83068526092495,-16.32625527679283,-30.25803664398119,19.65152128391216,63.880434675821334,41.609549368439204
88,5800,5774,5769,5774,5778,5710,5788,5768,5761,-60.90238292009839,95.78602784400375,-24.031377145717375,65.47990283773649,-17.37977963809901,-66.1894307405611,11.376265344641606,73.49836091524152,39.86520010012777
89,5800,5779,5756,5752,5818,5720,5793,5795,5749,-64.38564425649369,93.92617414138243,-20.753410137046625,66.97543598430819,-8.63173563040412,-59.021090488943294,6.185688355117457,83.20108686877911,40.92650813477073
90,5802,5775,5768,5741,5792,5744,5812,5823,5714,-53.63106398276952,92.58864450218276,-20.315308089371772,57.912487345691524,-20.129571467525512,-46.94827205771969,13.33377266392269,93.69962486719203,6.356872538180815
91,5754,5769,5786,5755,5847,5757,5802,5760,5755,-58.55211011957228,89.9863672110483,-19.37708114833219,64.29178492476854,-31.908556384154824,-56.65772299606593,22.123800848735414,76.13044614902176,2.140694442712267
92,5799,5701,5748,5743,5821,5727,5808,5775,5741,-64.44534647905222,53.637102381526184,-14.005528514526619,61.66009047262811,-9.038413216489056,-40.27647540523923,-9.060655324330016,74.63261738004341,33.2193472140491
93,5817,5697,5790,5725,5799,5741,5800,5768,5749,-102.58929174164119,74.54793239063116,-11.151996239047664,51.1632417350071,-3.7879742842808364,-42.36766952381879,2.416833178912931,101.99042296434219,41.55064625395239
94,5830,5732,5766,5750,5794,5759,5809,5772,5755,-97.30143981650819,79.38886648059392,-5.523453403222065,73.80772317214385,-1.970531376606226,-52.55172240213462,1.3935299157362018,104.4507088696616,-1.6117167038329774
95,5811,5732,5789,5761,5781,5785,5775,5745,5771,-70.65968182534915,81.35675748591444,-14.331730572975758,83.58206016620265,3.1597053383042417,-52.917537221799215,-2.7851626470241695,117.07090607583395,0.07910144728521507
96,5803,5785,5768,5736,5794,5767,5779,5740,5742,-59.594254868264,101.10870467184385,-37.00934548956023,97.828575033118,15.781030691677083,-58.827239958017984,19.002917344448136,116.9320659511851,-5.06911368263844
97,5794,5771,5755,5768,5819,5740,5815,5780,5754,-62.290402114436525,92.56778064327538,-30.43535700920373,110.62992010673479,2.947353974688053,-42.268902210272266,8.919525872475571,104.7994971651446,-7.209389306126535
98,5784,5786,5769,5776,5820,5751,5796,5775,5771,-53.1218421340348,90.28651233399584,-34.19435897266898,122.60578344221082,20.735687295053403,-37.14963189449724,-12.892368281848812,101.25040668022827,-10.00034161232772
99,5810,5764,5758,5788,5781,5749,5798,5789,5771,-66.52460122269342,136.2132484131627,-29.01815229565021,119.97331004520018,34.88580764199727,-33.54428456121509,-16.59858304637174,93.44949322578431,-13.783367478139615
