time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
59,5895,5921,5804,6020,6178,6052,6038,6051,5952,5844,5693,-4322.886923917402,7182.948554235788,-108.05653172025528,13953.086047317905,3877.4864953079405,5218.735555697563,1115.5641368041713,-278.1004668085427,-13120.950139079643,6471.211427247172,-8598.424473591975
60,5909,5883,5800,6025,6236,6072,6028,6005,5961,5852,5764,-4283.925075898805,7171.516105790381,-111.44261927967291,13831.266030323413,3879.983195875428,5171.847043521114,1117.3116160217685,-272.96056921525894,-13071.21408765852,6427.030042140498,-8396.278047809852
61,5891,5887,5807,6097,6281,6042,6008,6044,5989,5818,5712,-4281.019318626091,7246.677378925643,-100.99221456536696,13949.212485303418,3850.007692378213,5149.710839173183,1125.7378982008781,-272.7313600772719,-13069.71390814559,6396.469955806974,-8235.11780747349
62,5909,5879,5806,6185,6291,6023,5985,6039,5975,5873,5725,-4242.216486348325,7257.062491496922,-104.09613094926593,13982.104489717894,3854.9602973041965,5111.6745696340695,1114.5083682013783,-268.4531583633712,-12887.364335901886,6326.280709433519,-8236.977901992404
63,5920,5888,5825,6237,6303,6106,5953,6013,5955,5959,5727,-4252.281345157931,7307.75458612096,-104.61692394307003,13933.693643021732,3854.2759892099193,5058.949396586461,1105.1590315843807,-261.3080913717255,-12702.2323866108,6251.765618376642,-7566.759066217287
64,5889,5872,5869,6268,6249,6160,6011,6059,5895,5994,5702,-4240.411570092397,7287.17559501468,-103.8712723816307,13864.708113421964,3859.031512912388,5048.7339417124585,1110.7889695749332,-252.2786580822679,-12572.236772475158,6205.286189759973,-7568.759814746205
65,5875,5837,5857,6302,6241,6157,6038,6034,5881,6043,5708,-4226.707233367705,7316.125734855777,-101.69589696149723,13850.132068533572,3855.41831668043,5011.451585607146,1115.249654690273,-246.71834120064875,-12576.844243110545,6166.329815427159,-7551.440071200966
66,5811,5754,5847,6352,6219,6096,6007,5979,5893,6110,5729,-4209.980304616609,7291.401236269389,-103.26478437088403,13992.916743071459,3857.534901905909,4961.358624500361,1108.2431083229508,-236.39726393665356,-12508.637863137177,6114.733742656125,-7538.034717170877
67,5842,5744,5802,6350,6217,6095,5990,5964,5927,6112,5667,-4187.135863012458,7290.648179216259,-99.03028728660506,14189.697719231399,3837.4176669758863,4952.414375322269,1103.8728204650179,-240.98382528889329,-12385.006669105685,6107.32365892146,-7517.578906866267
68,5816,5744,5790,6287,6219,6075,5961,5891,5987,6074,5665,-4185.351604695582,7264.52301126769,-90.93479970817634,14140.452073002283,3827.760176201731,4921.406409578449,1092.8828804165416,-248.04971150709312,-12222.08062626122,6092.002784267971,-7472.99433767999
